ACS Code,Area of Operations,Task,Type,Description
PA.I.A.K1,I. Preflight Preparation,Task A. Pilot Qualifications,Knowledge,"Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K2,I. Preflight Preparation,Task A. Pilot Qualifications,Knowledge,Privileges and limitations.
PA.I.A.K3,I. Preflight Preparation,Task A. Pilot Qualifications,Knowledge,"Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K4,I. Preflight Preparation,Task A. Pilot Qualifications,Knowledge,Documents required to exercise private pilot privileges.
PA.I.A.K5,I. Preflight Preparation,Task A. Pilot Qualifications,Knowledge,Part 68 BasicMed privileges and limitations.
PA.I.A.R1,I. Preflight Preparation,Task A. Pilot Qualifications,Risk Management,Proficiency versus currency.
PA.I.A.R2 ,I. Preflight Preparation,Task A. Pilot Qualifications,Risk Management,Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.S1 ,I. Preflight Preparation,Task A. Pilot Qualifications,Skills,Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.B.K1,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,"General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1a,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,a. Location and expiration dates of required aircraft certificates
PA.I.B.K1b,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,b. Required inspections and airplane logbook documentation
PA.I.B.K1c,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1d,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1e,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K2,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,Pilot-performed preventive maintenance.
PA.I.B.K3,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,"Equipment requirements for day and night VFR flight, including:"
PA.I.B.K3a,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,a. Flying with inoperative equipment
PA.I.B.K3b,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,b. Using an approved Minimum Equipment List (MEL)
PA.I.B.K3c,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,c. Kinds of Operation Equipment List (KOEL)
PA.I.B.K3d,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,d. Required discrepancy records or placards
PA.I.B.K4,I. Preflight Preparation,Task B. Airworthiness Requirements,Knowledge,Standard and special airworthiness certificates and their associated operational limitations.
PA.I.B.R1 ,I. Preflight Preparation,Task B. Airworthiness Requirements,Risk Management,Inoperative equipment discovered prior to flight.
PA.I.B.S1 ,I. Preflight Preparation,Task B. Airworthiness Requirements,Skills,Locate and describe airplane airworthiness and registration information.
PA.I.B.S2,I. Preflight Preparation,Task B. Airworthiness Requirements,Skills,Determine the airplane is airworthy in the scenario given by the evaluator.
PA.I.B.S3,I. Preflight Preparation,Task B. Airworthiness Requirements,Skills,Apply appropriate procedures for operating with inoperative equipment in the scenario given by the evaluator.
PA.I.C.K1,I. Preflight Preparation,Task C. Weather Information,Knowledge,"Sources of weather data (e.g., National Weather Service, Flight Service) for flight planning purposes."
PA.I.C.K2,I. Preflight Preparation,Task C. Weather Information,Knowledge,"Acceptable weather products and resources required for preflight planning, current and forecast weather for departure, en route, and arrival phases of flight such as:"
PA.I.C.K2a,I. Preflight Preparation,Task C. Weather Information,Knowledge,a. Airport Observations (METAR and SPECI) and Pilot Observations (PIREP)
PA.I.C.K2b,I. Preflight Preparation,Task C. Weather Information,Knowledge,"b. Surface Analysis Chart, Ceiling and Visibility Chart (CVA)"
PA.I.C.K2c,I. Preflight Preparation,Task C. Weather Information,Knowledge,c. Terminal Aerodrome Forecasts (TAF)
PA.I.C.K2d,I. Preflight Preparation,Task C. Weather Information,Knowledge,d. Graphical Forecasts for Aviation (GFA)
PA.I.C.K2e,I. Preflight Preparation,Task C. Weather Information,Knowledge,e. Wind and Temperature Aloft Forecast (FB)
PA.I.C.K2f,I. Preflight Preparation,Task C. Weather Information,Knowledge,f. Convective Outlook (AC)
PA.I.C.K2g,I. Preflight Preparation,Task C. Weather Information,Knowledge,"g. Inflight Aviation Weather Advisories including Airmen's Meteorological Information (AIRMET), Significant Meteorological Information (SIGMET), and Convective SIGMET"
PA.I.C.K3,I. Preflight Preparation,Task C. Weather Information,Knowledge,"Meteorology applicable to the departure, en route, alternate, and destination under visual flight rules (VFR) in Visual Meteorological Conditions (VMC), including expected climate and hazardous conditions such as:"
PA.I.C.K3a,I. Preflight Preparation,Task C. Weather Information,Knowledge,a. Atmospheric composition and stability
PA.I.C.K3b,I. Preflight Preparation,Task C. Weather Information,Knowledge,"b. Wind (e.g., windshear, mountain wave, factors affecting wind, etc.)"
PA.I.C.K3c,I. Preflight Preparation,Task C. Weather Information,Knowledge,c. Temperature and heat exchange
PA.I.C.K3d,I. Preflight Preparation,Task C. Weather Information,Knowledge,d. Moisture/precipitation
PA.I.C.K3e,I. Preflight Preparation,Task C. Weather Information,Knowledge,"e. Weather system formation, including air masses and fronts"
PA.I.C.K3f,I. Preflight Preparation,Task C. Weather Information,Knowledge,f. Clouds
PA.I.C.K3g,I. Preflight Preparation,Task C. Weather Information,Knowledge,g. Turbulence
PA.I.C.K3h,I. Preflight Preparation,Task C. Weather Information,Knowledge,h. Thunderstorms and microbursts
PA.I.C.K3i,I. Preflight Preparation,Task C. Weather Information,Knowledge,i. Icing and freezing level information
PA.I.C.K3j,I. Preflight Preparation,Task C. Weather Information,Knowledge,j. Fog/mist
PA.I.C.K3k,I. Preflight Preparation,Task C. Weather Information,Knowledge,k. Frost
PA.I.C.K3l,I. Preflight Preparation,Task C. Weather Information,Knowledge,"l. Obstructions to visibility (e.g., smoke, haze, volcanic ash, etc.)"
PA.I.C.K4,I. Preflight Preparation,Task C. Weather Information,Knowledge,Flight deck instrument displays of digital weather and aeronautical information.
PA.I.C.R1,I. Preflight Preparation,Task C. Weather Information,Risk Management,"Making the go/no-go and continue/divert decisions, including:"
PA.I.C.R1a,I. Preflight Preparation,Task C. Weather Information,Risk Management,a. Circumstances that would make diversion prudent
PA.I.C.R1b,I. Preflight Preparation,Task C. Weather Information,Risk Management,b. Personal weather minimums
PA.I.C.R1c,I. Preflight Preparation,Task C. Weather Information,Risk Management,"c. Hazardous weather conditions, including known or forecast icing or turbulence aloft"
PA.I.C.R2,I. Preflight Preparation,Task C. Weather Information,Risk Management,Use and limitations of:
PA.I.C.R2a,I. Preflight Preparation,Task C. Weather Information,Risk Management,a. Installed onboard weather equipment
PA.I.C.R2b,I. Preflight Preparation,Task C. Weather Information,Risk Management,b. Aviation weather reports and forecasts
PA.I.C.R2c,I. Preflight Preparation,Task C. Weather Information,Risk Management,c. Inflight weather resources
PA.I.D.K1,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"Route planning, including consideration of different classes and special use airspace (SUA) and selection of appropriate and available navigation/communication systems and facilities."
PA.I.D.K1a,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"a. Use of an electronic flight bag (EFB), if used"
PA.I.D.K2,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"Altitude selection accounting for terrain and obstacles, glide distance of airplane, VFR cruising altitudes, and effect of wind."
PA.I.D.K3,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,Calculating:
PA.I.D.K3a,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"a. Time, climb and descent rates, course, distance, heading, true airspeed, and groundspeed"
PA.I.D.K3b,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"b. Estimated time of arrival, including conversion to universal coordinated time (UTC)"
PA.I.D.K3c,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"c. Fuel requirements, including reserve"
PA.I.D.K4,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,Elements of a VFR flight plan.
PA.I.D.K5,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,"Procedures for filing, activating, and closing a VFR flight plan."
PA.I.D.K6,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Knowledge,Inflight intercept procedures.
